"","variable_codename_use","variable_description_use","harmonized_categories","harmonized_categories_description","in_dataset","corrected_codename_2day_separate"
"327","MCQ240O","Age when lymphoma or Hodgkin's Disease was first diagnosed","17-76","17-76 years old","Questionnaire",NA
"328","MCQ240O","Age when lymphoma or Hodgkin's Disease was first diagnosed","17-80","17-80 years old","Questionnaire",NA
"329","MCQ240O","Age when lymphoma or Hodgkin's Disease was first diagnosed","19-79","19-79 years old","Questionnaire",NA
"330","MCQ240O","Age when lymphoma or Hodgkin's Disease was first diagnosed","80","80 years or older","Questionnaire",NA
"331","MCQ240O","Age when lymphoma or Hodgkin's Disease was first diagnosed","85","85 years or older","Questionnaire",NA
"332","MCQ240O","Age when lymphoma or Hodgkin's Disease was first diagnosed","99999","Don't know","Questionnaire",NA
"333","MCQ240O","Age when lymphoma or Hodgkin's Disease was first diagnosed","77777","Refused","Questionnaire",NA
"334","MCQ240P","Age when melanoma was first diagnosed","16","16 years or younger","Questionnaire",NA
"335","MCQ240P","Age when melanoma was first diagnosed","17-78","17-78 years old","Questionnaire",NA
"336","MCQ240P","Age when melanoma was first diagnosed","17-79","17-79 years old","Questionnaire",NA
"337","MCQ240P","Age when melanoma was first diagnosed","17-83","17-83 years old","Questionnaire",NA
"338","MCQ240P","Age when melanoma was first diagnosed","80","80 years or older","Questionnaire",NA
"339","MCQ240P","Age when melanoma was first diagnosed","85","85 years or older","Questionnaire",NA
"340","MCQ240P","Age when melanoma was first diagnosed","99999","Don't know","Questionnaire",NA
"341","MCQ240P","Age when melanoma was first diagnosed","77777","Refused","Questionnaire",NA
"342","MCQ240Q","Age when mouth, tongue, or lip cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"343","MCQ240Q","Age when mouth, tongue, or lip cancer was first diagnosed","17-79","17-79 years old","Questionnaire",NA
"344","MCQ240Q","Age when mouth, tongue, or lip cancer was first diagnosed","27-70","27-70 years old","Questionnaire",NA
"345","MCQ240Q","Age when mouth, tongue, or lip cancer was first diagnosed","30-70","30-70 years old","Questionnaire",NA
"346","MCQ240Q","Age when mouth, tongue, or lip cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"347","MCQ240Q","Age when mouth, tongue, or lip cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"348","MCQ240Q","Age when mouth, tongue, or lip cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"349","MCQ240Q","Age when mouth, tongue, or lip cancer was first diagnosed","77777","Refused","Questionnaire",NA
"350","MCQ240U","Age when prostate cancer was first diagnosed","17-79","17-79 years old","Questionnaire",NA
"351","MCQ240U","Age when prostate cancer was first diagnosed","17-84","17-84 years old","Questionnaire",NA
"352","MCQ240U","Age when prostate cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"353","MCQ240U","Age when prostate cancer was first diagnosed","32-79","32-79 years old","Questionnaire",NA
"354","MCQ240U","Age when prostate cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"355","MCQ240U","Age when prostate cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"356","MCQ240U","Age when prostate cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"357","MCQ240U","Age when prostate cancer was first diagnosed","77777","Refused","Questionnaire",NA
"358","MCQ240W","Age when non-melanoma skin cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"359","MCQ240W","Age when non-melanoma skin cancer was first diagnosed","17-78","17-78 years old","Questionnaire",NA
"360","MCQ240W","Age when non-melanoma skin cancer was first diagnosed","17-79","17-79 years old","Questionnaire",NA
"361","MCQ240W","Age when non-melanoma skin cancer was first diagnosed","17-84","17-84 years old","Questionnaire",NA
"362","MCQ240W","Age when non-melanoma skin cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"363","MCQ240W","Age when non-melanoma skin cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"364","MCQ240W","Age when non-melanoma skin cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"365","MCQ240W","Age when non-melanoma skin cancer was first diagnosed","77777","Refused","Questionnaire",NA
"366","MCQ240X","Age when the unknown kind of skin cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"367","MCQ240X","Age when the unknown kind of skin cancer was first diagnosed","17-79","17-79 years old","Questionnaire",NA
"368","MCQ240X","Age when the unknown kind of skin cancer was first diagnosed","17-84","17-84 years old","Questionnaire",NA
"369","MCQ240X","Age when the unknown kind of skin cancer was first diagnosed","18-79","18-79 years old","Questionnaire",NA
"370","MCQ240X","Age when the unknown kind of skin cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"371","MCQ240X","Age when the unknown kind of skin cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"372","MCQ240X","Age when the unknown kind of skin cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"373","MCQ240X","Age when the unknown kind of skin cancer was first diagnosed","77777","Refused","Questionnaire",NA
"374","MCQ240Z","Age when stomach cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"375","MCQ240Z","Age when stomach cancer was first diagnosed","17-79","17-79 years old","Questionnaire",NA
"376","MCQ240Z","Age when stomach cancer was first diagnosed","22-82","22-82 years old","Questionnaire",NA
"377","MCQ240Z","Age when stomach cancer was first diagnosed","32-76","32-76 years old","Questionnaire",NA
"378","MCQ240Z","Age when stomach cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"379","MCQ240Z","Age when stomach cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"380","MCQ240Z","Age when stomach cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"381","MCQ240Z","Age when stomach cancer was first diagnosed","77777","Refused","Questionnaire",NA
"382","MCQ280","About how old was she when she fractured her hip (the first time)?","1-101","1-101 years old","Questionnaire",NA
"383","MCQ280","About how old was she when she fractured her hip (the first time)?","555","50 +","Questionnaire",NA
"384","MCQ280","About how old was she when she fractured her hip (the first time)?","9-107","9-107 years old","Questionnaire",NA
"385","MCQ280","About how old was she when she fractured her hip (the first time)?","99999","Don't know","Questionnaire",NA
"386","MCQ280","About how old was she when she fractured her hip (the first time)?","77777","Refused","Questionnaire",NA
"387","MCQ280","About how old was she when she fractured her hip (the first time)?","444","Under 50","Questionnaire",NA
"388","MCQ320","How old {were you/was SP} when {you/he} first had {your/his} PSA test?","16","16 years or younger","Questionnaire",NA
"389","MCQ320","How old {were you/was SP} when {you/he} first had {your/his} PSA test?","17-79","17-79 years old","Questionnaire",NA
"390","MCQ320","How old {were you/was SP} when {you/he} first had {your/his} PSA test?","17-85","17-85 years old","Questionnaire",NA
"391","MCQ320","How old {were you/was SP} when {you/he} first had {your/his} PSA test?","80","80 years or older","Questionnaire",NA
"392","MCQ320","How old {were you/was SP} when {you/he} first had {your/his} PSA test?","999","Don't know","Questionnaire",NA
"393","MCQ320","How old {were you/was SP} when {you/he} first had {your/his} PSA test?","777","Refused","Questionnaire",NA
"394","MCQ570","How old {were you/was SP} when {you /s/he} first had gallbladder surgery?","11-99","11-99 years old","Questionnaire",NA
"395","MCQ570","How old {were you/was SP} when {you /s/he} first had gallbladder surgery?","15-79","15-79 years old","Questionnaire",NA
"396","MCQ570","How old {were you/was SP} when {you /s/he} first had gallbladder surgery?","20-87","20-87 years old","Questionnaire",NA
"397","MCQ570","How old {were you/was SP} when {you /s/he} first had gallbladder surgery?","80","80 years or older","Questionnaire",NA
"398","MCQ570","How old {were you/was SP} when {you /s/he} first had gallbladder surgery?","90","90 + years","Questionnaire",NA
"399","MCQ570","How old {were you/was SP} when {you /s/he} first had gallbladder surgery?","99999","Don't know","Questionnaire",NA
"400","MCQ570","How old {were you/was SP} when {you /s/he} first had gallbladder surgery?","77777","Refused","Questionnaire",NA
"401","PAD120","[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.]","1-95","1-95 times","Questionnaire",NA
"402","PAD120","[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.]","1-99","1-99 times","Questionnaire",NA
"403","PAD120","[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.]","100","100 +","Questionnaire",NA
"404","PAD120","[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.]","99999","Don't know","Questionnaire",NA
"405","PAD120","[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.]","77777","Refused","Questionnaire",NA
"406","PAD460","[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]","1-91","1-91 times","Questionnaire",NA
"407","PAD460","[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]","1-99","1-99 times","Questionnaire",NA
"408","PAD460","[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]","100","100 +","Questionnaire",NA
"409","PAD460","[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]","999","Don't know","Questionnaire",NA
"410","PAD460","[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]","777","Refused","Questionnaire",NA
"411","PAQ050Q","[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?","1-91","1-91 times","Questionnaire",NA
"412","PAQ050Q","[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?","1-99","1-99 times","Questionnaire",NA
"413","PAQ050Q","[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?","100","100 +","Questionnaire",NA
"414","PAQ050Q","[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?","99999","Don't know","Questionnaire",NA
"415","PAQ050Q","[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?","77777","Refused","Questionnaire",NA
"416","BMIWAIST","Waist Circumference Comment","1","Could not obtain","Response",NA
"417",NA,NA,"1","Breakfast","Dietary","DR1.030Z"
"418",NA,NA,"2","Brunch","Dietary","DR1.030Z"
"419",NA,NA,"3","Lunch","Dietary","DR1.030Z"
"420",NA,NA,"4","Snack/beverage","Dietary","DR1.030Z"
"421",NA,NA,"5","Dinner/supper","Dietary","DR1.030Z"
"422",NA,NA,"6","Infant feeding","Dietary","DR1.030Z"
"423",NA,NA,"7","Extended consumption","Dietary","DR1.030Z"
"424",NA,NA,"8","Other","Dietary","DR1.030Z"
"425",NA,NA,"9","Desayuno (Spanish)","Dietary","DR1.030Z"
"426",NA,NA,"10","Almuerzo (Spanish)","Dietary","DR1.030Z"
"427",NA,NA,"11","Comida (Spanish)","Dietary","DR1.030Z"
"428",NA,NA,"12","Merienda (Spanish)","Dietary","DR1.030Z"
"429",NA,NA,"13","Cena (Spanish)","Dietary","DR1.030Z"
"430",NA,NA,"14","Entre comida/bebida (Spanish)","Dietary","DR1.030Z"
"431",NA,NA,"15","Bocadillo (Spanish)","Dietary","DR1.030Z"
"432",NA,NA,"16","Botana (Spanish)","Dietary","DR1.030Z"
"433",NA,NA,"99","Don't know","Dietary","DR1.030Z"
"434",NA,NA,"2","Lunch","Dietary","DR1.030Z"
"435",NA,NA,"3","Dinner/supper","Dietary","DR1.030Z"
"436",NA,NA,"5","Brunch","Dietary","DR1.030Z"
"437",NA,NA,"6","Snack/beverage","Dietary","DR1.030Z"
"438",NA,NA,"8","Infant feeding","Dietary","DR1.030Z"
"439",NA,NA,"9","Extended consumption","Dietary","DR1.030Z"
"440",NA,NA,"10","Desayano (Spanish)","Dietary","DR1.030Z"
"441",NA,NA,"11","Almuerzo (Spanish)","Dietary","DR1.030Z"
"442",NA,NA,"12","Comida (Spanish)","Dietary","DR1.030Z"
"443",NA,NA,"13","Merienda (Spanish)","Dietary","DR1.030Z"
"444",NA,NA,"14","Cena (Spanish)","Dietary","DR1.030Z"
"445",NA,NA,"15","Entre comida/bebida/tentempie (Spanish)","Dietary","DR1.030Z"
"446",NA,NA,"17","Bocadillo (Spanish)","Dietary","DR1.030Z"
"447",NA,NA,"91","Other","Dietary","DR1.030Z"
"448",NA,NA,"3","Dinner","Dietary","DR1.030Z"
"449",NA,NA,"4","Supper","Dietary","DR1.030Z"
"450",NA,NA,"6","Snack","Dietary","DR1.030Z"
"451",NA,NA,"7","Drink","Dietary","DR1.030Z"
"452",NA,NA,"10","Desayano (breakfast)","Dietary","DR1.030Z"
"453",NA,NA,"11","Almuerzo (breakfast)","Dietary","DR1.030Z"
"454",NA,NA,"12","Comida (lunch)","Dietary","DR1.030Z"
"455",NA,NA,"13","Merienda (snack)","Dietary","DR1.030Z"
"456",NA,NA,"14","Cena (dinner)","Dietary","DR1.030Z"
"457",NA,NA,"15","Entre comida (snack)","Dietary","DR1.030Z"
"458",NA,NA,"16","Botana (snack)","Dietary","DR1.030Z"
"459",NA,NA,"17","Bocadillo (snack)","Dietary","DR1.030Z"
"460",NA,NA,"18","Tentempie (snack)","Dietary","DR1.030Z"
"461",NA,NA,"19","Bebida (drink)","Dietary","DR1.030Z"
"462",NA,NA,"0","Non-combination food","Dietary","DR1CCMTX"
"463",NA,NA,"90","Other mixtures","Dietary","DR1CCMTX"
"464",NA,NA,"9","Dried beans and vegetable w/ additions","Dietary","DR1CCMTX"
"465",NA,NA,"1","Beverage w/ additions","Dietary","DR1CCMTX"
"466",NA,NA,"3","Bread/baked products w/ additions","Dietary","DR1CCMTX"
"467",NA,NA,"2","Cereal w/ additions","Dietary","DR1CCMTX"
"468",NA,NA,"14","Chips w/ additions","Dietary","DR1CCMTX"
"469",NA,NA,"12","Meat, poultry, fish","Dietary","DR1CCMTX"
"470",NA,NA,"7","Frozen meals","Dietary","DR1CCMTX"
"471",NA,NA,"10","Fruit w/ additions","Dietary","DR1CCMTX"
"472",NA,NA,"4","Salad","Dietary","DR1CCMTX"
"473",NA,NA,"5","Sandwiches","Dietary","DR1CCMTX"
"474",NA,NA,"6","Soup","Dietary","DR1CCMTX"
"475",NA,NA,"11","Tortilla products","Dietary","DR1CCMTX"
"476",NA,NA,"1","Beverage w/ adds","Dietary","DR1CCMTX"
"477",NA,NA,"2","Cereal w/ adds","Dietary","DR1CCMTX"
"478",NA,NA,"3","Bread/baked products w/ adds","Dietary","DR1CCMTX"
"479",NA,NA,"8","Ice cream/frozen yogurt w/ additions","Dietary","DR1CCMTX"
"480",NA,NA,"9","Dried beans and vegetable w/ adds","Dietary","DR1CCMTX"
"481",NA,NA,"10","Fruit w/ adds","Dietary","DR1CCMTX"
"482",NA,NA,"11","Tortilla Products","Dietary","DR1CCMTX"
"483",NA,NA,"13","Lunchables","Dietary","DR1CCMTX"
"484","DRXDRSTZ","Dietary Recall Status","1","Reliable and met the minimum criteria","Dietary","DR1DRSTZ"
"485","DRXDRSTZ","Dietary Recall Status","2","Not reliable or not met the minimum criteria","Dietary","DR1DRSTZ"
"486","DRXDRSTZ","Dietary Recall Status","9","Interview lost due to computer malfunction or file transfer problem","Dietary","DR1DRSTZ"
"487","DRXDRSTZ","Dietary Recall Status","4","Reported consuming breast-milk","Dietary","DR1DRSTZ"
"488","DRXDRSTZ","Dietary Recall Status","88","Blank but applicable","Dietary","DR1DRSTZ"
"489","DRXDRSTZ","Dietary Recall Status","5","Not done","Dietary","DR1DRSTZ"
"490",NA,NA,"2","No","Dietary","DR1.040Z"
"491",NA,NA,"1","Yes (home)","Dietary","DR1.040Z"
"492",NA,NA,"7","Refused","Dietary","DR1.040Z"
"493",NA,NA,"9","Don't know","Dietary","DR1.040Z"
"494","DRXTWSZ","Tap Water Source","1","Community supply","Dietary","DR1TWSZ"
"495","DRXTWSZ","Tap Water Source","91","Other","Dietary","DR1TWSZ"
"496","DRXTWSZ","Tap Water Source","4","Don't drink tap water","Dietary","DR1TWSZ"
"497","DRXTWSZ","Tap Water Source","99","Don't know","Dietary","DR1TWSZ"
"498","DBQ095Z","Type of salt you usually add at table","4","Doesn't use or add salt products at the table","Dietary","DBQ095Z"
"499","DBQ095Z","Type of salt you usually add at table","1","Ordinary salt [includes regular iodized salt, sea salt and seasoning salts made with regular salt]","Dietary","DBQ095Z"
"500","DBQ095Z","Type of salt you usually add at table","2","Lite salt","Dietary","DBQ095Z"
"501","DBQ095Z","Type of salt you usually add at table","3","Salt substitute","Dietary","DBQ095Z"
"502","DBQ095Z","Type of salt you usually add at table","88","Blank but applicable","Dietary","DBQ095Z"
"503","DBQ095Z","Type of salt you usually add at table","99","Don't know","Dietary","DBQ095Z"
"504","DBQ095Z","Type of salt you usually add at table","7","Refused","Dietary","DBQ095Z"
"505","DBQ095Z","Type of salt you usually add at table","91","Other","Dietary","DBQ095Z"
"506","DRXHELP","Who helped in responding for this interview","1","SP","Dietary","DR1HELP"
"507","DRXHELP","Who helped in responding for this interview","4","Parent of SP","Dietary","DR1HELP"
"508","DRXHELP","Who helped in responding for this interview","5","Spouse of SP","Dietary","DR1HELP"
"509","DRXHELP","Who helped in responding for this interview","6","Child of SP","Dietary","DR1HELP"
"510","DRXHELP","Who helped in responding for this interview","7","Grandparent of SP","Dietary","DR1HELP"
"511","DRXHELP","Who helped in responding for this interview","8","Friend, Partner, Non Relative","Dietary","DR1HELP"
"512","DRXHELP","Who helped in responding for this interview","9","Translator, not a HH member","Dietary","DR1HELP"
"513","DRXHELP","Who helped in responding for this interview","10","Child care provider, Caretaker","Dietary","DR1HELP"
"514","DRXHELP","Who helped in responding for this interview","11","Other Relative","Dietary","DR1HELP"
"515","DRXHELP","Who helped in responding for this interview","12","No One","Dietary","DR1HELP"
"516","DRXHELP","Who helped in responding for this interview","14","Other specify","Dietary","DR1HELP"
"517","DRXHELP","Who helped in responding for this interview","77","Refused","Dietary","DR1HELP"
"518","DRXHELP","Who helped in responding for this interview","99","Don't know","Dietary","DR1HELP"
"519","DRXMRESP","Who was the main respondent for this interview?","1","SP","Dietary","DR1MRESP"
"520","DRXMRESP","Who was the main respondent for this interview?","97","Proxy","Dietary","DR1MRESP"
"521","DRXMRESP","Who was the main respondent for this interview?","98","SP and proxy","Dietary","DR1MRESP"
"522","DRXMRESP","Who was the main respondent for this interview?","88","Blank but applicable","Dietary","DR1MRESP"
"523","DRXMRESP","Who was the main respondent for this interview?","2","Mother of SP","Dietary","DR1MRESP"
"524","DRXMRESP","Who was the main respondent for this interview?","3","Father of SP","Dietary","DR1MRESP"
"525","DRXMRESP","Who was the main respondent for this interview?","5","Spouse of SP","Dietary","DR1MRESP"
"526","DRXMRESP","Who was the main respondent for this interview?","6","Child of SP","Dietary","DR1MRESP"
"527","DRXMRESP","Who was the main respondent for this interview?","7","Grandparent of SP","Dietary","DR1MRESP"
"528","DRXMRESP","Who was the main respondent for this interview?","8","Friend, Partner, Non Relative","Dietary","DR1MRESP"
"529","DRXMRESP","Who was the main respondent for this interview?","9","Translator, not a HH member","Dietary","DR1MRESP"
"530","DRXMRESP","Who was the main respondent for this interview?","10","Child care provider, Caretaker","Dietary","DR1MRESP"
"531","DRXMRESP","Who was the main respondent for this interview?","11","Other Relative","Dietary","DR1MRESP"
"532","DRXMRESP","Who was the main respondent for this interview?","14","Other specify","Dietary","DR1MRESP"
"533","DRXMRESP","Who was the main respondent for this interview?","77","Refused","Dietary","DR1MRESP"
"534","DRXMRESP","Who was the main respondent for this interview?","99","Don't know","Dietary","DR1MRESP"
"535","DRXTWSZ","Tap Water Source","1","Community supply","Dietary","DR2TWSZ"
"536","DRXTWSZ","Tap Water Source","91","Other","Dietary","DR2TWSZ"
"537","DRXTWSZ","Tap Water Source","4","Don't drink tap water","Dietary","DR2TWSZ"
"538","DRXTWSZ","Tap Water Source","99","Don't know","Dietary","DR2TWSZ"
"539","DRXHELP","Who helped in responding for this interview","1","SP","Dietary","DR2HELP"
"540","DRXHELP","Who helped in responding for this interview","4","Parent of SP","Dietary","DR2HELP"
"541","DRXHELP","Who helped in responding for this interview","5","Spouse of SP","Dietary","DR2HELP"
"542","DRXHELP","Who helped in responding for this interview","6","Child of SP","Dietary","DR2HELP"
"543","DRXHELP","Who helped in responding for this interview","7","Grandparent of SP","Dietary","DR2HELP"
"544","DRXHELP","Who helped in responding for this interview","8","Friend, Partner, Non Relative","Dietary","DR2HELP"
"545","DRXHELP","Who helped in responding for this interview","9","Translator, not a HH member","Dietary","DR2HELP"
"546","DRXHELP","Who helped in responding for this interview","10","Child care provider, Caretaker","Dietary","DR2HELP"
"547","DRXHELP","Who helped in responding for this interview","11","Other Relative","Dietary","DR2HELP"
"548","DRXHELP","Who helped in responding for this interview","12","No One","Dietary","DR2HELP"
"549","DRXHELP","Who helped in responding for this interview","14","Other specify","Dietary","DR2HELP"
"550","DRXHELP","Who helped in responding for this interview","77","Refused","Dietary","DR2HELP"
"551","DRXHELP","Who helped in responding for this interview","99","Don't know","Dietary","DR2HELP"
"552","DRXMRESP","Who was the main respondent for this interview?","1","SP","Dietary","DR2MRESP"
"553","DRXMRESP","Who was the main respondent for this interview?","2","Mother of SP","Dietary","DR2MRESP"
"554","DRXMRESP","Who was the main respondent for this interview?","3","Father of SP","Dietary","DR2MRESP"
"555","DRXMRESP","Who was the main respondent for this interview?","5","Spouse of SP","Dietary","DR2MRESP"
"556","DRXMRESP","Who was the main respondent for this interview?","6","Child of SP","Dietary","DR2MRESP"
"557","DRXMRESP","Who was the main respondent for this interview?","7","Grandparent of SP","Dietary","DR2MRESP"
"558","DRXMRESP","Who was the main respondent for this interview?","8","Friend, Partner, Non Relative","Dietary","DR2MRESP"
"559","DRXMRESP","Who was the main respondent for this interview?","9","Translator, not a HH member","Dietary","DR2MRESP"
"560","DRXMRESP","Who was the main respondent for this interview?","10","Child care provider, Caretaker","Dietary","DR2MRESP"
"561","DRXMRESP","Who was the main respondent for this interview?","11","Other Relative","Dietary","DR2MRESP"
"562","DRXMRESP","Who was the main respondent for this interview?","14","Other specify","Dietary","DR2MRESP"
"563","DRXMRESP","Who was the main respondent for this interview?","77","Refused","Dietary","DR2MRESP"
"564","DRXMRESP","Who was the main respondent for this interview?","99","Don't know","Dietary","DR2MRESP"
"565","DBD100","How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .","1","Rarely","Dietary","DBD100"
"566","DBD100","How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .","2","Occasionally","Dietary","DBD100"
"567","DBD100","How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .","3","Very often","Dietary","DBD100"
"568","DBD100","How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .","88","Blank but applicable","Dietary","DBD100"
"569","DBD100","How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .","9","Don't know","Dietary","DBD100"
"570","DBD100","How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .","7","Refused","Dietary","DBD100"
