codename_original,categories_num,categories_description,new_categories,new_categories_description,cycle_-1,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9,cycle_10,new_codename
MCD180L,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ180L
MCQ180M,0-16,0-16 years old,16,16 years or younger,,,,x,x,x,x,,,,,MCQ180M
HAC3JR,1-16,1-16 years old,16,16 years or younger,x,,,,,,,,,,,MCQ180M
MCD180M,1-16,1-16 years old,16,16 years or younger,,,x,,,,,,,,,MCQ180M
MCQ180M,1-16,1-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ180M
MCD180M,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180M
MCQ180M,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCQ180M
HAC3JR,17-84,17-84 years old,17-84,17-84 years old,x,,,,,,,,,,,MCQ180M
MCQ180I,17-84,17-84 years old,17-84,17-84 years old,,x,,,,,,,,,,MCQ180M
MCD180M,17-84,17-84 years old,17-84,17-84 years old,,,x,,,,,,,,,MCQ180M
MCQ180M,17-84,17-84 years old,17-84,17-84 years old,,,,x,x,,,,,,,MCQ180M
HAC3KR,17-89,17-89 years old,17-89,17-89 years old,x,,,,,,,,,,,MCQ180M
HAC3KR,3-16,3-16 years old,16,16 years or younger,x,,,,,,,,,,,MCQ180M
MCQ180I,5-16,5-16 years old,16,16 years or younger,,x,,,,,,,,,,MCQ180M
MCD180M,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180M
MCQ180M,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180M
MCQ180I,85,85 years or older,85,85 years or older,,x,,,,,,,,,,MCQ180M
MCD180M,85,85 years or older,85,85 years or older,,,x,,,,,,,,,MCQ180M
MCQ180M,85,85 years or older,85,85 years or older,,,,x,x,,,,,,,MCQ180M
HAC3JR,90,90 + years,90,90 + years,x,,,,,,,,,,,MCQ180M
HAC3JR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ180M
HAC3KR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ180M
MCQ180I,99999,Don't know,99999,Don't know,,x,,,,,,,,,,MCQ180M
MCD180M,99999,Don't know,99999,Don't know,,,x,,,,,,,,x,MCQ180M
MCQ180M,99999,Don't know,99999,Don't know,,,,x,x,x,x,x,x,x,,MCQ180M
MCQ180I,77777,Refused,77777,Refused,,x,,,,,,,,,,MCQ180M
MCD180M,77777,Refused,77777,Refused,,,x,,,,,,,,x,MCQ180M
MCQ180M,77777,Refused,77777,Refused,,,,x,x,x,x,x,x,x,,MCQ180M
HAC3MR,1-16,1-16 years old,16,16 years or younger,x,,,,,,,,,,,MCQ180N
MCD180N,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180N
MCQ180N,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCQ180N
HAC3MR,17-86,17-86 years old,17-86,17-86 years old,x,,,,,,,,,,,MCQ180N
MCQ180N,2-16,2-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCQ180N
MCQ180N,8-16,8-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ180N
MCQ180N,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180N
MCD180N,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180N
HAC3MR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ180N
MCQ180N,99999,Don't know,99999,Don't know,,,,,,x,x,x,x,x,,MCQ180N
MCD180N,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ180N
HAC3MR,777,Less than 1 year,16,16 years or younger,x,,,,,,,,,,,MCQ180N
MCQ180N,77777,Refused,77777,Refused,,,,,,x,x,x,x,x,,MCQ180N
MCD180N,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ180N
HAC1B,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ195
MCQ190,9,Don't know,9,Don't know,,x,x,x,x,x,,,,,,MCQ195
MCQ191,9,Don't know,9,Don't know,,,,,,,x,,,,,MCQ195
MCQ195,9,Don't know,9,Don't know,,,,,,,,x,x,x,x,MCQ195
HAC1B,2,Osteoarthritis,2,Osteoarthritis or degenerative arthritis,x,,,,,,,,,,,MCQ195
MCQ190,2,Osteoarthritis,2,Osteoarthritis or degenerative arthritis,,x,x,x,x,x,,,,,,MCQ195
MCQ191,2,Osteoarthritis,2,Osteoarthritis or degenerative arthritis,,,,,,,x,,,,,MCQ195
MCQ195,1,Osteoarthritis or degenerative arthritis,2,Osteoarthritis or degenerative arthritis,,,,,,,,x,x,x,x,MCQ195
MCQ190,3,Other,4,Other,,x,x,x,x,x,,,,,,MCQ195
MCQ191,4,Other,4,Other,,,,,,,x,,,,,MCQ195
MCQ195,4,Other,4,Other,,,,,,,,x,x,x,x,MCQ195
MCQ191,3,Psoriatic arthritis,3,Psoriatic arthritis,,,,,,,x,,,,,MCQ195
MCQ195,3,Psoriatic arthritis,3,Psoriatic arthritis,,,,,,,,x,x,x,x,MCQ195
MCQ190,7,Refused,7,Refused,,x,x,x,x,x,,,,,,MCQ195
MCQ191,7,Refused,7,Refused,,,,,,,x,,,,,MCQ195
MCQ195,7,Refused,7,Refused,,,,,,,,x,x,x,x,MCQ195
HAC1B,1,Rheumatoid arthritis,1,Rheumatoid arthritis,x,,,,,,,,,,,MCQ195
MCQ190,1,Rheumatoid arthritis,1,Rheumatoid arthritis,,x,x,x,x,x,,,,,,MCQ195
MCQ191,1,Rheumatoid arthritis,1,Rheumatoid arthritis,,,,,,,x,,,,,MCQ195
MCQ195,2,Rheumatoid arthritis,1,Rheumatoid arthritis,,,,,,,,x,x,x,x,MCQ195
HAC1N,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ220
HAC1O,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ220
MCQ220,9,Don't know,9,Don't know,,x,x,x,x,x,x,x,x,x,x,MCQ220
MCQ220,2,No,2,No,,x,x,x,x,x,x,x,x,x,x,MCQ220
HAC1N,2,No (HAC1O),2,No,x,,,,,,,,,,,MCQ220
HAC1O,2,No (HAC4A),2,No,x,,,,,,,,,,,MCQ220
MCQ220,7,Refused,7,Refused,,x,x,x,x,x,x,x,x,x,x,MCQ220
MCQ220,1,Yes,1,Yes,,x,x,x,x,x,x,x,x,x,x,MCQ220
HAC1N,1,Yes (HAC3NR),1,Yes,x,,,,,,,,,,,MCQ220
HAC1O,1,Yes (HAC3OR),1,Yes,x,,,,,,,,,,,MCQ220
MCQ240A,17-78,17-78 years old,17-78,17-78 years old,,,,,,,,x,x,x,,MCQ240A
MCQ240A,17-83,17-83 years old,17-83,17-83 years old,,x,x,x,x,,,,,,,MCQ240A
MCQ240A,5-16,5-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ240A
MCQ240A,7-16,7-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240A
MCQ240A,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240A
MCQ240A,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240A
MCQ240A,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240A
MCQ240A,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240A
MCQ240AA,18-75,18-75 years old,18-75,18-75 years old,,x,x,x,x,x,x,,,,,MCQ240AA
MCQ240AA,20-67,20-67 years old,20-67,20-67 years old,,,,,,,,x,x,x,,MCQ240AA
MCQ240AA,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240AA
MCQ240AA,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240AA
MCQ240AA,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240AA
MCQ240AA,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240AA
MCQ240B,1-16,1-16 years old,16,16 years or younger,,x,x,x,x,x,x,,,,,MCQ240B
MCQ240B,10-16,10-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240B
MCQ240B,17-66,17-66 years old,17-66,17-66 years old,,x,x,x,x,x,x,,,,,MCQ240B
MCQ240B,17-70,17-70 years old,17-70,17-70 years old,,,,,,,,x,x,x,,MCQ240B
MCQ240B,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240B
MCQ240B,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240B
MCQ240B,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240B
MCQ240B,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240B
MCQ240BB,17-75,17-75 years old,17-75,17-75 years old,,x,x,x,x,x,x,,,,,MCQ240BB
MCQ240BB,25-72,25-72 years old,25-72,25-72 years old,,,,,,,,x,x,x,,MCQ240BB
MCQ240BB,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240BB
MCQ240BB,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240BB
MCQ240BB,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240BB
MCQ240BB,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240BB
MCQ240C,17-77,17-77 years old,17-77,17-77 years old,,,,,,x,x,,,,,MCQ240C
MCQ240C,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ240C
MCQ240C,4-16,4-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ240C
MCQ240C,55-76,55-76 years old,55-76,55-76 years old,,,,,,,,x,x,x,,MCQ240C
MCQ240C,6-16,6-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCQ240C
MCQ240C,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240C
MCQ240C,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240C
MCQ240C,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240C
MCQ240C,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240C
MCQ240CC,0-16,0-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ240CC
MCQ240CC,14-16,14-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240CC
MCQ240CC,17-77,17-77 years old,17-77,17-77 years old,,,,,,,,x,x,x,,MCQ240CC
MCQ240CC,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ240CC
MCQ240CC,20-72,20-72 years old,20-72,20-72 years old,,,,,,x,x,,,,,MCQ240CC
MCQ240CC,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240CC
MCQ240CC,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240CC
MCQ240CC,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240CC
MCQ240CC,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240CC
MCQ240D,11-16,11-16 years old,16,16 years or younger,,,,,,,,x,x,,,MCQ240D
MCQ240D,17-73,17-73 years old,17-73,17-73 years old,,,,,,,,x,x,,,MCQ240D
MCQ240D,17-75,17-75 years old,17-75,17-75 years old,,,x,x,x,x,x,,,,,MCQ240D
MCQ240D,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240D
MCQ240D,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240D
MCQ240D,9-16,9-16 years old,16,16 years or younger,,,x,x,x,x,x,,,,,MCQ240D
MCQ240D,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240D
MCQ240D,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240D
MCQ240DD,0-16,0-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCQ240DD
MCQ240DD,1-16,1-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ240DD
MCQ240DD,17-77,17-77 years old,17-77,17-77 years old,,,,,,x,x,,,,,MCQ240DD
MCQ240DD,17-78,17-78 years old,17-78,17-78 years old,,,,,,,,x,x,x,,MCQ240DD
MCQ240DD,17-83,17-83 years old,17-83,17-83 years old,,x,x,x,x,,,,,,,MCQ240DD
MCQ240DD,3-16,3-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240DD
MCQ240DD,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240DD
MCQ240DD,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240DD
MCQ240DD,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240DD
MCQ240DD,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240DD
MCQ240DK,20-80,20-80 years old,20-80,20-80 years old,,,,,x,x,x,,,,,MCQ240DK
MCQ240DK,23-47,23-47 years old,23-47,23-47 years old,,,,,,,,x,x,x,,MCQ240DK
MCQ240DK,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240DK
MCQ240DK,85,85 years or older,85,85 years or older,,,,,x,,,,,,,MCQ240DK
MCQ240DK,999,Don't know,99999,Don't know,,,,,,,,x,x,x,,MCQ240DK
MCQ240DK,99999,Don't know,99999,Don't know,,,,,x,x,x,,,,,MCQ240DK
MCQ240DK,777,Refused,77777,Refused,,,,,,,,x,x,x,,MCQ240DK
MCQ240DK,77777,Refused,77777,Refused,,,,,x,x,x,,,,,MCQ240DK
MCQ240E,14-16,14-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240E
MCQ240E,17-78,17-78 years old,17-78,17-78 years old,,,,,,x,x,,,,,MCQ240E
MCQ240E,17-79,17-79 years old,17-79,17-79 years old,,,,,,,,x,x,x,,MCQ240E
MCQ240E,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ240E
MCQ240E,2-16,2-16 years old,16,16 years or younger,,x,x,x,x,x,x,,,,,MCQ240E
MCQ240E,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240E
MCQ240E,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240E
MCQ240E,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240E
MCQ240E,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240E
MCQ240F,15-16,15-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240F
MCQ240F,17-65,17-65 years old,17-65,17-65 years old,,,,,,,,x,x,x,,MCQ240F
MCQ240F,17-73,17-73 years old,17-73,17-73 years old,,x,x,x,x,x,x,,,,,MCQ240F
MCQ240F,4-16,4-16 years old,16,16 years or younger,,x,x,x,x,x,x,,,,,MCQ240F
MCQ240F,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240F
MCQ240F,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240F
MCQ240F,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240F
MCQ240F,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240F
MCQ240G,13-16,13-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240G
MCQ240G,17-79,17-79 years old,17-79,17-79 years old,,,,,,,,x,x,x,,MCQ240G
MCQ240G,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ240G
MCQ240G,2-16,2-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ240G
MCQ240G,21-79,21-79 years old,21-79,21-79 years old,,,,,,x,x,,,,,MCQ240G
MCQ240G,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240G
MCQ240G,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240G
MCQ240G,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240G
MCQ240G,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240G
MCQ240H,34-83,34-83 years old,34-83,34-83 years old,,x,x,x,x,,,,,,,MCQ240H
MCQ240H,43-75,43-75 years old,43-75,43-75 years old,,,,,,x,x,,,,,MCQ240H
MCQ240H,52-71,52-71 years old,52-71,52-71 years old,,,,,,,,x,x,x,,MCQ240H
MCQ240H,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240H
MCQ240H,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240H
MCQ240H,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240H
MCQ240H,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240H
MCQ240I,52,52 years old,52,52 years old,,,,,,x,,,,,,MCQ240I
MCQ240I,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240I
MCQ240I,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240I
MCQ240I,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240I
MCQ240I,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240I
MCQ240J,26-83,26-83 years old,26-83,26-83 years old,,x,x,x,x,,,,,,,MCQ240J
MCQ240J,27-76,27-76 years old,27-76,27-76 years old,,,,,,x,x,x,x,x,,MCQ240J
MCQ240J,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240J
MCQ240J,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240J
MCQ240J,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240J
MCQ240J,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240J
MCQ240K,19-75,19-75 years old,19-75,19-75 years old,,x,x,x,x,,,,,,,MCQ240K
MCQ240K,30-70,30-70 years old,30-70,30-70 years old,,,,,,x,x,,,,,MCQ240K
MCQ240K,43-74,43-74 years old,43-74,43-74 years old,,,,,,,,x,x,,,MCQ240K
MCQ240K,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240K
MCQ240K,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240K
MCQ240K,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240K
MCQ240K,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240K
MCQ240L,17-70,17-70 years old,17-70,17-70 years old,,,,,,x,x,,,,,MCQ240L
MCQ240L,17-75,17-75 years old,17-75,17-75 years old,,,,,,,,x,x,x,,MCQ240L
MCQ240L,28-84,28-84 years old,28-84,28-84 years old,,x,x,x,x,,,,,,,MCQ240L
MCQ240L,3-16,3-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240L
MCQ240L,4-16,4-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCQ240L
MCQ240L,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240L
MCQ240L,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240L
MCQ240L,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240L
MCQ240L,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240L
MCQ240M,28-70,28-70 years old,28-70,28-70 years old,,,,,,,,x,x,x,,MCQ240M
MCQ240M,28-83,28-83 years old,28-83,28-83 years old,,x,x,x,x,,,,,,,MCQ240M
MCQ240M,29-77,29-77 years old,29-77,29-77 years old,,,,,,x,x,,,,,MCQ240M
MCQ240M,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240M
MCQ240M,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240M
MCQ240M,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240M
MCQ240M,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240M
MCQ240N,12-16,12-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ240N
MCQ240N,15-16,15-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCQ240N
MCQ240N,17-76,17-76 years old,17-76,17-76 years old,,,,,,x,x,,,,,MCQ240N
MCQ240N,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ240N
MCQ240N,29-79,29-79 years old,29-79,29-79 years old,,,,,,,,x,x,x,,MCQ240N
MCQ240N,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240N
MCQ240N,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240N
MCQ240N,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240N
MCQ240N,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240N
MCQ240O,15-16,15-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCQ240O
MCQ240O,17-76,17-76 years old,17-76,17-76 years old,,,,,,x,x,,,,,MCQ240O
MCQ240O,17-80,17-80 years old,17-80,17-80 years old,,x,x,x,x,,,,,,,MCQ240O
MCQ240O,19-79,19-79 years old,19-79,19-79 years old,,,,,,,,x,x,x,,MCQ240O
MCQ240O,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240O
MCQ240O,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240O
MCQ240O,9-16,9-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ240O
MCQ240O,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240O
MCQ240O,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240O
MCQ240P,12-16,12-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCQ240P
MCQ240P,15-16,15-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240P
MCQ240P,17-78,17-78 years old,17-78,17-78 years old,,,,,,,,x,x,x,,MCQ240P
MCQ240P,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,,,,,MCQ240P
MCQ240P,17-83,17-83 years old,17-83,17-83 years old,,x,x,x,x,,,,,,,MCQ240P
MCQ240P,6-16,6-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ240P
MCQ240P,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240P
MCQ240P,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240P
MCQ240P,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240P
MCQ240P,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240P
MCQ240Q,1-16,1-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240Q
MCQ240Q,17-79,17-79 years old,17-79,17-79 years old,,,,,,,,x,x,x,,MCQ240Q
MCQ240Q,27-70,27-70 years old,27-70,27-70 years old,,,,,,x,x,,,,,MCQ240Q
MCQ240Q,30-70,30-70 years old,30-70,30-70 years old,,x,x,x,x,,,,,,,MCQ240Q
MCQ240Q,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240Q
MCQ240Q,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240Q
MCQ240Q,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240Q
MCQ240Q,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240Q
MCQ240R,23,23 years old,23,23 years old,,,,,,x,,,,,,MCQ240R
MCQ240R,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240R
MCQ240R,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240R
MCQ240R,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240R
MCQ240R,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240R
MCQ240S,16,16-16 years old,16,16 years or younger,,x,x,x,x,,,x,x,x,,MCQ240S
MCQ240S,17-74,17-74 years old,17-74,17-74 years old,,,,,,,,x,x,x,,MCQ240S
MCQ240S,17-80,17-80 years old,17-80,17-80 years old,,x,x,x,x,,,,,,,MCQ240S
MCQ240S,18-79,18-79 years old,18-79,18-79 years old,,,,,,x,x,,,,,MCQ240S
MCQ240S,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240S
MCQ240S,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240S
MCQ240S,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240S
MCQ240S,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240S
MCQ240T,40,40 years old,40,40 years old,,,x,,,,,,,,,MCQ240T
MCQ240T,40-71,40-71 years old,40-71,40-71 years old,,,,,,,,x,x,x,,MCQ240T
MCQ240T,55-77,55-77 years old,55-77,55-77 years old,,,,,,x,x,,,,,MCQ240T
MCQ240T,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240T
MCQ240T,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240T
MCQ240T,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240T
MCQ240T,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240T
MCQ240U,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,,,,,MCQ240U
MCQ240U,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ240U
MCQ240U,2-16,2-16 years old,16,16 years or younger,,x,x,x,x,x,x,,,,,MCQ240U
MCQ240U,32-79,32-79 years old,32-79,32-79 years old,,,,,,,,x,x,x,,MCQ240U
MCQ240U,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240U
MCQ240U,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240U
MCQ240U,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240U
MCQ240U,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240U
MCQ240V,41-78,41-78 years old,41-78,41-78 years old,,,,,,,x,,,,,MCQ240V
MCQ240V,43-81,43-81 years old,43-81,43-81 years old,,x,x,x,x,,,,,,,MCQ240V
MCQ240V,48-65,48-65 years old,48-65,48-65 years old,,,,,,,,x,x,x,,MCQ240V
MCQ240V,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240V
MCQ240V,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240V
MCQ240V,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240V
MCQ240V,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240V
MCQ240W,10-16,10-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ240W
MCQ240W,11-16,11-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCQ240W
MCQ240W,17-78,17-78 years old,17-78,17-78 years old,,,,,,x,x,,,,,MCQ240W
MCQ240W,17-79,17-79 years old,17-79,17-79 years old,,,,,,,,x,x,x,,MCQ240W
MCQ240W,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ240W
MCQ240W,3-16,3-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240W
MCQ240W,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240W
MCQ240W,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240W
MCQ240W,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240W
